Gen 1-2 menu icons: Emi Monserrate, Chamber, Solo993, Blue Emerald, Lake, Neslug, Pikachu25, Ryta
Gen 3 menu icons: EeVeeEe1999, MegamanOmega, bloodless
Gen 5-7 menu icons: EeVeeEe1999
Rowlet menu icon: Emi Monserrate

Team Rocket Executive overworld & battle sprites: JaceDeane
Blaine, Blue, Bugsy, Chuck, Clair, Janine, Lt. Surge, Morty, & Whitney battle sprites: Solo993
Karen & Pryce battle sprites: Bronzeswagger
Twins battle sprite: MajinCubyan
Female scientist battle sprite: Solo993
Farfetch'd overworld sprite: Rangi

Kanto badges: DarioEMeloD

- NAME -                    -FRONT-                            -BACK-
Vullaby                     COMBOY                            COMBOY
Mandibuzz                   COMBOY                            COMBOY
Heatmor                     Bummer                            Bummer
Durant                      Bummer                            Bummer
Deino                       Bummer                            COMBOY
Zweilous                    Bummer                            Bummer
Hydreigon                   Bronzeswagger                     Bummer
Larvesta                    Thor                              COMBOY
Volcarona                   Thor                              COMBOY
Chespin                     MrDollSteak                       Chamber
Quilladin                   Solo993                           Chamber
Chesnaught                  Solo993                           Chamber
Fennekin                    SupahSnivy                        N-Kin
Braixen                     Zorgoth120, Solo993               Chamber
Delphox                     Solo993                           Wisgarus
Froakie                     WAH!                              Pia Carrot
Frogadier                   Zorgoth120                        Chamber
Greninja                    Solo993                           Chamber
Fletchling                  WAH!                              MrDollSteak
Fletchinder                 Zerudez                           al199288
Talonflame                  Mr. Dollsteak, Hiraethe           MrDollSteak
Scatterbug                  Hooded Bird                       MrDollSteak
Spewpa                      Hooded Bird                       MrDollSteak
Vivillon                    Kyledove                          Solo993
Flabebe                     TheCynicalPoet                    leParagon
Floette                     Pia Carrot                        Pia Carrot
Florges                     Monnotonnous Pixels               Pia Carrot
Skiddo                      Vale98PM                          Bummer
Gogoat                      Dragonball253                     Bummer
Pancham                     Pia Carrot                        Chamber
Pangoro                     Chamber                           Chamber
Espurr                      JaceDeane                         Solo993
Meowstic (Female)           Noscium                           Faintster
Meowstic (Male)             Pia Carrot                        JaceDeane
Honedge                     JaceDeane                         JaceDeane
Doublade                    Bummer                            Bummer
Aegislash                   Bummer                            Bummer
Spritzee                    lakeofdance                       JaceDeane
Aromatisse                  Bummer                            JaceDeane
Swirlix                     lakeofdance                       COMBOY
Slurpuff                    lakeofdance                       COMBOY
Inkay                       leParagon                         leParagon
Malamar                     Bummer                            Bummer
Binacle                     Bummer                            Bummer
Barbaracle                  Bummer                            Bummer
Skrelp                      Sleet                             JaceDeane
Dragalge                    Pia Carrot                        Chamber
Helioptile                  Wobblebuns                        Chamber
Heliolisk                   Chamber                           Chamber
Tyrunt                      Neslug                            MrDollSteak, Bummer
Tyrantrum                   Bummer                            MrDollSteak, Bummer
Amaura                      Chamber                           Chamber
Aurorus                     Chamber                           JaceDeane
Sylveon                     Solo993                           Solo993
Hawlucha                    Solo993                           Solo993
Dedenne                     Solo993                           Solo993
Carbink                     Bummer                            JaceDeane
Goomy                       Wobblebuns                        MrDollSteak
Sliggoo (Kalosian)          COMBOY                            COMBOY
Sliggoo (Hisuian)           Mirajii                           COMBOY
Goodra (Kalosian)           Wisgarus                          Wisgarus
Goodra (Hisuian)            Wisgarus                          Wisgarus
Klefki                      N-Kin                             MrDollSteak
Phantump                    Dragonball253                     Bummer
Trevenant                   Pokémon Grape                     Bummer
Pumpkaboo                   Wobblebuns                        Wobblebuns
Gourgeist                   Ben Sheldon (PokeStitchPatterns)  Fenne-King
Bergmite                    Dragonball253                     MrDollSteak
Avalugg (Kalosian)          Bummer                            Captain Cohete
Xerneas                     MyLittleKeldeo                    Pia Carrot
Yveltal                     Fexiled                           MrDollSteak
Zygarde                     Fexiled                           MrDollSteak
Diancie                     JaceDeane                         JaceDeane
Volcanion                   RubenSalazar                      leParagon
Rowlet                      Enderific                         JaceDeane
Dartrix                     leParagon                         leParagon
Decidueye (Alolan)          JaegarLucciano                    Falgaia
Decidueye (Hisuian)         cure_pixel                        utytft
Pikipek                     SupahSanti                        leParagon
Trumbeak                    Pia Carrot                        leParagon
Toucannon                   Pia Carrot                        leParagon
Yungoos                     SupahSanti                        DS-style Gen VII and Beyond Pokémon Sprite Repository in 64x64
Gumshoos                    SupahSanti                        DS-style Gen VII and Beyond Pokémon Sprite Repository in 64x64
Grubbin                     Enderific                         *
Charjabug                   bloodless                         leParagon
Vikavolt                    falgaia                           Bummer
Crabrawler                  leParagon, Bummer                 leParagon, Bummer
Crabomable                  leParagon, Bummer                 JaegerLucciano23, Z-nogyroP, leParagon, Bummer
Cutiefly                    SupahSanti                        Bummer
Ribombee                    Bummer                            leParagon
Rockruff                    SupahSanti                        leParagon
Lycanroc (Midday)           Pia Carrot                        *
Lycanroc (Midnight)         JaegarLucciano                    leParagon
Mareanie                    leParagon                         leParagon
Toxapex                     leParagon                         leParagon
Mudbray                     SupahSanti                        Bummer
Mudsdale                    leParagon, Bummer                 leParagon, Bummer
Dewpider                    LakeOfDance                       leParagon
Araquanid                   utytft                            leParagon
Fomantis                    Pia Carrot                        utytft
Lurantis                    EeVeeEe1999                       utytft
Morelull                    leParagon, Bummer                 leParagon, Bummer
Shiinotic                   Bummer                            leParagon, Bummer
Stufful                     SupahSanti                        leParagon
Bewear                      SupahSanti                        leParagon
Oranguru                    SupahSanti                        leParagon
Passimian                   TheLunarNerd                      leParagon
Wimpod                      Pia Carrot                        leParagon
Golisopod                   LakeOfDance                       Falgaia
Sandygast                   SupahSanti                        Z-nogyroP, goranthegreat
Palossand                   Bronzeswagger                     Z-nogyroP, Kevin RDS, goranthegreat
Pyukumuku                   SupahSanti                        princessofmusic
Type: Null                  CopyRobot1                        *
Silvally                    leParagon                         leParagon
Minior (Meteor)             SupahSanti                        PorousMist326, Pikafan2000, zerudez
Minior (Core)               Pia Carrot                        PorousMist326, Pikafan2000, zerudez
Komala                      SupahSanti                        leParagon
Turtonator                  SupahSanti                        leParagon
Togedemaru                  Pia Carrot                        Wisgarus
Mimikyu                     SupahSanti                        Pia Carrot
Drampa                      SupahSanti                        leParagon, Bummer
Dhelmise                    lakeofdance                       leParagon
Jangmo-o                    lakeofdance                       leParagon
Hakamo-o                    leParagon                         leParagon
Kommo-o                     lakeofdance                       leParagon
Nihilego                    lakeofdance                       utytft
Buzzwole                    lakeofdance                       leParagon
Pheromosa                   Pia Carrot                        leParagon
Xurkitree                   Splendidland, Bronzeswagger       leParagon
Celesteela                  JaegerLucciano23                  leParagon, JaegerLucciano23
Kartana                     Pia Carrot                        SharkGuy
Guzzlord                    Pia Carrot                        SharkGuy
Magearna                    SupahSanti                        leParagon
Stakataka                   Pia Carrot                        leParagon
Blacephlon                  Pia Carrot                        leParagon
Grookey                     Involuntary-Twitch                leParagon
Thwackey                    Involuntary-Twitch                leParagon
Rillaboom                   leParagon                         leParagon
Rookidee                    leParagon                         leParagon
Corvisquire                 leParagon                         leParagon
Corviknight                 LucasSevero                       leParagon
Blipbug                     Enderific                         utytft
Dottler                     Menyu                             utytft
Orbeetle                    SkidMarc25                        SkidMarc25
Nickit                      Jimmy Fraser                      utytft
Thievul                     utytft                            utytft
Gossifleur                  JaceDeane                         utytft
Eldegoss                    JaceDeane                         utytft
Wooloo                      Bronzeswagger                     leParagon
Dubwool                     KingOfThe-X-Roads                 leParagon
Chewtle                     Menyu                             leParagon
Drednaw                     EeVeeEe1999                       utytft
Rolycoly                    EeVeeEe1999, JaceDeane            leParagon
Carkol                      utytft                            utytft
Coalossal                   Menyu                             utytft
Applin                      utytft                            utytft
Flapple                     utytft                            utytft
Appletun                    utytft                            utytft
Arrokuda                    QuilChess                         leParagon
Baraskewda                  Menyu                             Z-nogyroP
Toxel                       lakeofdance                       utytft
Toxtricity                  utytft                            utytft
Sizzlipede                  utytft                            utytft
Centiskrch                  utytft                            utytft
Clobbopus                   EzerArt                           Game Freak
Grapploct                   King Panloco                      Game Freak
Sinistea                    EeVeeEe1999                       Game Freak
Polteageist                 French Cyndaquil                  French Cyndaquil
Hatenna                     Cinnaboopa                        Game Freak
Hattrem                     Cinnaboopa                        Game Freak
Hatterene                   SkidMarc25                        leParagon
Obstagoon                   French Cyndaquil                  French Cyndaquil
Perrserker                  utytft                            utytft
Cursola                     Menyu                             Menyu
Sirfetch'd                  SkidMarc25                        SkidMarc25
Mr. Rime                    Menyu                             utytft
Runerigus                   EeVeeEe1999                       utytft
Milcery                     Wisgarus                          leParagon
Alcremie                    JaceDeane                         leParagon
Falinks                     Menyu                             DS-style Gen VII and Beyond PokÃ©mon Sprite Repository in 64x64
Pincurchin                  JaceDeane                         utytft
Snom                        Wisgarus                          Wisgarus
Frosmoth                    Menyu                             utytft
Stonjourner                 Menyu                             leParagon
Eiscue                      Menyu                             leParagon
Cufant                      utytft                            utytft
Copperajah                  Enderific                         utytft
Dracozolt                   lakeofdance                       utytft
Arctozolt                   lakeofdance                       utytft
Dracovish                   utytft                            TheAetherPlayer
Arctovish                   utytft                            utytft
Duraludon                   Enderific, JaceDeane              utytft
Dreepy                      Enderific                         tlefonmann
Drakloak                    Enderific                         utytft
Dragapult                   Menyu                             tlefonmann
Regieleki                   Pokémon Daybreak/Aprogergely      leParagon
Regidrago                   CyndArts                          leParagon
Wyrdeer                     utytft, LucasSevero               utytft
Kleavor                     utytft                            utytft
Ursaluna                    cure_pixel                        utytft
Basculegion (Male)          LucasSevero                       utytft
Basculegion (Female)        utytft                            utytft
Overqwil                    utytft                            utytft
Fuecoco                     Tharkka                           KingOfThe-X-Roads
Crocalor                    Egg3ggEgg                         KingOfThe-X-Roads
Skeledirge                  Egg3ggEgg                         Caruban
Fidough                     Egg3ggEgg                         Caruban
Dachsbun                    Egg3ggEgg                         Caruban
Tadbulb                     Egg3ggEgg                         KingOfThe-X-Roads
Bellibolt                   Egg3ggEgg                         KingOfThe-X-Roads
Wiglett                     Pokets3                           leParagon
Wugtrio                     Egg3ggEgg                         leParagon
Glimmet                     Egg3ggEgg                         Alxndre~◇
Glimmora                    Egg3ggEgg                         Z-nogyroP
Greavard                    Egg3ggEgg                         Alxndre~◇
Houndstone                  Egg3ggEgg                         Caruban
Flamigo                     Egg3ggEgg                         leParagon
Veluza                      Egg3ggEgg                         leParagon
Tatsugiri                   Egg3ggEgg                         leParagon
Clodsire                    Egg3ggEgg                         leParagon
Farigiraf                   Egg3ggEgg                         KingOfThe-X-Roads
Wo-Chien                    Egg3ggEgg                         KingOfThe-X-Roads
